,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
518-528,10,He,6,"9,11,13",9,ON,2.10:0.6:-0.125,,"No donuts, exclude 528","bins = [[5804,5816],[6137,6153]]",,,,,"[[5804,5816],[6137,6153]]"
529-541,13,He,6,"9,11,13",9,ON,2.10:0.6:-0.125,,High space charge,"bins = [[5804,5816],[6137,6153]]",,,,,"[[5804,5816],[6137,6153]]"
542-554,13,He,6,"9,11,13",9,ON,2.10:0.6:-0.125,,,"bins = [[5804,5816],[6137,6153]]",,,,,"[[5804,5816],[6137,6153]]"
555-568,13,He,6,"9,11,13",9,ON,2.10:0.6:-0.125,,"Increased retardation, exclude 556","bins = [[5845,5870],[6270,6320]]",,,,,"[[5845,5870],[6270,6320]]"
569-581,13,He,6,"9,11,13",9,ON,2.10:0.6:-0.125,,still increased ret.,"bins = [[5845,5870],[6270,6320]]",,,,,"[[5845,5870],[6270,6320]]"
584-596,13,He,6,"10,12,14",10,ON,2.10:0.6:-0.125,,,"bins = [[5845,5870],[6270,6320]]",,,,," [[5845,5870],[6270,6320]]"
597-609,13,He,6,"10,12,14",10,ON,2.10:0.6:-0.125,,,"bins = [[5845,5870],[6270,6320]]",,,,," [[5845,5870],[6270,6320]]"
610-622,13,He,6,"10,12,14",10,ON,2.10:0.6:-0.125,,,"bins = [[5845,5870],[6270,6320]]",,,,," [[5845,5870],[6270,6320]]"
623-635,13,Ne,6,"10,12,14",10,ON,2.10:0.6:-0.125,,T0 to -6144.125,"bins = [[5857,5874],[6306,6336]]",,,,,"[[5857,5874],[6306,6336]]"
636,1,Ne,x,"10,12,14",x,OFF,x,,,,,,,,
637-661,25,Ne,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,,"bins = [[5857,5874],[6306,6336]]",,,,,"[[5857,5874],[6306,6336]]"
